Work Location,IT_Salary_From,IT_Salary_To,NonIT_Salary_from,NonIT_Salary_To,Annual_salary_from,Annual_Salary_to,Daily_Salary_from,Daily_Salary_to,Hourly_Salary_from,Hourly_Salary_to,Annual_Salary_freq,Daily_salary_freq,Hourly_salary_freq,Total_Opening,Non_IT,IT,Full_Time,Part_Time
Hope Gardens,0,0,35327,57708,35327,57708,0,0,0,0,1,0,0,1,1,0,0,1
Law-EVP,0,0,99353,224749,99353,224749,0,0,0,0,2,0,0,2,2,0,0,2
Law-Housing Litigation,0,0,56277.5,73344,56278,73344,0,0,0,0,4,0,0,4,4,0,0,4
Law Dept-Civil Litigation,0,0,74791,102507.6667,74791,102508,0,0,0,0,6,0,0,6,6,0,2,4
LHD-Senior VP,0,0,49990,136023,49990,136023,0,0,0,0,1,0,0,1,1,0,0,1
Management Services,0,0,57729,89304,57729,89304,0,0,0,0,1,0,0,1,1,0,0,1
Manhattan Floating Staff,0,0,51907.68,54580.32,51908,54580,0,0,0,0,2,0,0,2,2,0,1,1
Marlboro,0,0,58705.33333,139248.6667,58705,139249,0,0,0,0,6,0,0,6,6,0,0,6
Not Used,0,0,31517.65084,38281.75678,48884,59377,76,98,35,38,58,4,28,90,90,0,32,58
NYC - All Boroughs,0,0,39338.36235,48735.65647,44539,55189,334,334,0,0,15,2,0,17,17,0,0,17
Office for Exec Proj Manager,0,0,74623,158130.8333,74623,158131,0,0,0,0,12,0,0,12,12,0,0,12
Office Of Public Information,0,0,60000,75000,60000,75000,0,0,0,0,4,0,0,4,4,0,0,4
Office of the Director,0,0,63074,91347,63074,91347,0,0,0,0,2,0,0,2,2,0,2,0
Office Of The Inspector Genera,0,0,47569.33333,70028,47569,70028,0,0,0,0,3,0,0,3,3,0,0,3
Office of the Vice-President,0,0,75338,194395,75338,194395,0,0,0,0,2,0,0,2,2,0,0,2
Office of the VP<U+0096>Tenancy Admin,0,0,82790,208298,82790,208298,0,0,0,0,2,0,0,2,2,0,0,2
Queens-SI Floating Staff,0,0,44.82,44.82,0,0,0,0,45,45,0,0,2,2,2,0,0,2
Real Estate-EVP,0,0,99353,224749,99353,224749,0,0,0,0,2,0,0,2,2,0,0,2
Real Estate Development-VP,0,0,69491,101848,69491,101848,0,0,0,0,2,0,0,2,2,0,0,2
Red Hook West,0,0,29636,43079,29636,43079,0,0,0,0,1,0,0,1,1,0,0,1
REES - Zone Coordination,0,0,50362,78177,50362,78177,0,0,0,0,4,0,0,4,4,0,0,4
Resident Engagement,0,0,58711,128525,58711,128525,0,0,0,0,4,0,0,4,4,0,0,4
Rikers Island,0,0,34096,38528,34096,38528,0,0,0,0,2,0,0,2,2,0,0,2
"Shore Rd-Compliance Mgmt, E.El",0,0,78630,103332,78630,103332,0,0,0,0,2,0,0,2,2,0,0,2
Tech Svcs-Env Hlth&Safety,0,0,52168,70113,52168,70113,0,0,0,0,2,0,0,2,2,0,1,1
Unit 2,0,0,60435,161497,60435,161497,0,0,0,0,2,0,0,2,2,0,0,2
Unit 3,0,0,60435,161497,60435,161497,0,0,0,0,2,0,0,2,2,0,0,2
"Wards Island, N.Y.",0,0,57187.63444,72752.52333,67007,83487,0,0,56,56,17,0,2,19,18,0,2,17
